"description.string()","type.string()","brand.string()","model.string()","serial.string()","uaz.string()","guard.string()","location.string()","details.string()","funding.string()","rfid.string()"
"Sillón giratorio","ofc","S/M","OHE-405","S/S",4402000163822,"JFT","Cubículo Dr Juvenal Villanueva","-","CONACYT","id_225"
"Escritorio","ofc","Gebeso","S/M","S/S",44020000441741,"JFT","Cubículo Dr Juvenal Villanueva","-","CONACYT","id_226"
"Credenza","ofc","S/M","S/M","S/S",4402000036360,"JFT","Cubículo Dr Juvenal Villanueva","-","CONACYT","id_227"
"Teléfono","ofc","Cisco","Cisco IP Phone 7942","FCH18478V64",,,"Cubículo Dr Juvenal Villanueva","-","-","id_228"
"Silla","ofc","S/M","S/M","S/S",44020001316676,"JFT","Cubículo Dr Juvenal Villanueva","-","CONACYT","id_229"
"Silla","ofc","S/M","S/M","S/S",44020001316770,"SID","Cubículo Dr Juvenal Villanueva","-","FMX","id_230"
"Sillón giratorio","ofc","S/M","OHE-405","S/S",4402000163823,"JFT","Cubículo Dr Jorge Simón","-","CONACYT","id_231"
"Escritorio","ofc","Gebeso","S/M","S/S",44020000441740,"JFT","Cubículo Dr Jorge Simón","-","CONACYT","id_232"
"Credenza","ofc","S/M","S/M","S/S",4402000036359,"JFT","Cubículo Dr Jorge Simón","-","CONACYT","id_233"
"Teléfono","ofc","Cisco","Cisco IP Phone 7942","FCH18478U6E",,,"Cubículo Dr Jorge Simón","-","-","id_234"
"Silla","ofc","S/M","S/M","S/S",44020001316673,"JFT","Cubículo Dr Jorge Simón","-","CONACYT","id_235"
"Silla","ofc","S/M","S/M","S/S",44020001316674,"JFT","Cubículo Dr Jorge Simón","-","CONACYT","id_236"
"Sillón ","ofc","S/M","S/M","S/S",,,"Cubículo Dr Remberto Sandoval","-","-","id_237"
"Archivero de metal","ofc","OfficeDimensions","S/M","S/S",440200000865,"JFT","Cubículo Dr Remberto Sandoval","-","-","id_238"
"Teléfono","ofc","Cisco","Cisco IP Phone 7942","FCH18478U5R",,,"Cubículo Dr Remberto Sandoval","-","-","id_239"
"Silla","ofc","Genova","S/M","S/S",44020001316772,"JFT","Cubículo Dr Remberto Sandoval","-","FMX","id_240"
"Silla","ofc","Genova","S/M","S/S",44020001316771,"SID","Cubículo Dr Remberto Sandoval","-","FMX","id_241"
"Silla azul","ofc","S/M","S/M","S/S",,,"Cubículo Dr Remberto Sandoval","-","-","id_242"
"Escritorio con credenza","ofc","S/M","S/M","S/S",,,"Cubículo Dr Remberto Sandoval","-","-","id_243"
"Librero","ofc","S/M","S/M","S/S",,,"Cubículo Dr Remberto Sandoval","-","-","id_244"
"Silla recepción","ofc","S/M","S/M","S/S",440200015008643,,"Recepción","-","SEMAR","id_245"
"Silla azul","ofc","S/M","S/M","S/S",,,"Mesa de entrada 2","-","-","id_246"
"Caja de plástico","ofc","S/M","S/M","S/S",22030000157,"SID","Cubículo Dr Viktor ","-","-","id_247"
"Silla  secretarial con ruedas","ofc","OFFIHO","S/M","S/S",44020001316759,,"Cubículo Dr Viktor ","-","-","id_248"
"Impresora multifuncional","ofc","HP","HP Laserjet M1005 MFP","CNG87D30YF",440300010688,,"Cubículo Dr Viktor ","-","-","id_249"
"Impresora multifuncional","ofc","Dell","Dell laser MFP 1815DN","CN0HF8937221176B",440300010698,,"Cubículo Dr Viktor ","-","-","id_250"
"Silla","ofc","Genova","S/M","S/S",44020001316769,"RSA","Cubículo Dr Viktor ","-","FMX","id_251"
"Silla giratoria azul","ofc","S/M","S/M","S/S",,,"Cubículo Dr Viktor ","-","-","id_252"
"Teléfono","ofc","Cisco","Cisco IP Phone 7942","FCH18478UDV",,,"Cubículo Dr Viktor ","-","-","id_253"
"Escritorio en L café","ofc","Línea Italia","S/M","S/S",44020000442411,"JFT","Cubículo Dr Viktor ","-","-","id_254"
"Escritorio en L café","ofc","Línea Italia","S/M","S/S",44020000442413,"JFT","Cubículo Dr Viktor ","-","-","id_255"
"Archivero café","ofc","Línea Italia","S/M","S/S",44020000061294,"JFT","Cubículo Dr Viktor ","-","-","id_256"
"Archivero café","ofc","Línea Italia","S/M","S/S",44020000061293,"JFT","Cubículo Dr Viktor ","-","-","id_257"
"Silla azul","ofc","S/M","S/M","S/S",,,"Cubículo Dr Viktor ","-","-","id_258"
"Silla ejecutiva giratoria","ofc","S/M","S/M","S/S",44020001592874,"JFT","Cubículo Dr Viktor ","-","-","id_259"
"Escritorio","ofc","S/M","S/M","S/S",,,"Cubículo Dr Viktor ","-","-","id_260"
"Silla ejecutiva giratoria","ofc","S/M","S/M","S/S",44020001592875,"JFT","Estación de trabajo 7","-","-","id_261"
"Silla ejecutiva giratoria","ofc","S/M","S/M","S/S",44020001592876,"JFT","Estación de trabajo 1","-","-","id_262"
"Pantalla Samsung","pry","Samsung","UN60JU6500F","049U3CZG500099H",3400000029126,"JFT","Sala de juntas","-","FMX","id_263"
"Smart Board","pry","Smart","M600","G032HW34P0443",440104000456,,"Sala de juntas","-","-","id_264"
"Proyector","pry","Smart","V30","B012HA16T0106",3401000239955,,"Sala de juntas","-","-","id_265"
"Tableta digitalizadora","pry","INTUOS","PTH-851/K","3LAH002253",28000000121,"JFT","Estante 1-nivel 4","-","FMX","id_266"
"Proyector","pry","Sony","VPL-DX142","7009614538S",34010002391175,"JFT","Techo de laboratorio","-","CYT","id_267"
"Proyector","pry","Benq","MX525","PDY1F01873000",3401000239767,"JFT","Estante 1-nivel 4","-","PIFI","id_268"
"Proyector","pry","Benq","MS510","PDF1B00519001",3401000239209,,"Estante 1-nivel 4","-","-","id_269"
"Proyector","pry","EPSON","Powerlite S18+","B9TF4Y7680L",3401000239643,"JFT","Cubículo Dr Jorge Flores","-","FMX","id_270"
"Pantalla para proyección","pry","Vutec","Elegante","S/S",4401080001611,"JFT","Techo de laboratorio","-","FMX","id_271"
"Pantalla para proyección","pry","Apollo","Apollo 60","P6406",4401080001611,"JFT","Techo de laboratorio","-","FMX","id_272"
"Interruptor de seguridad","sec","Samsung","SHS-1320","S/S",36000000416,"JFT","Puerta de entrada","-","CONACYT","id_273"
"Cámara de seguridad","sec","Mobotix","C25",101617666,3600000051166,"JFT","Techo de laboratorio","-","FMX","id_274"
"Cámara de seguridad","sec","Mobotix","C25",10161774,3600000051167,"JFT","Techo de laboratorio","-","FMX","id_275"
"Escalera","tools","CUPRUM","S/M","S/S",360000003251,"JFT","Site","-","SEDE","id_276"
"Escalera extensión","tools","CUPRUM","S/M","S/S",360000003252,"JFT","Área de pintarrones","-","SEDE","id_277"
"Carro transportador","tools","S/M","S/M","S/S",410000000612,"JFT","Site","-","FMX","id_278"
"Caja de herramientas","tools","Stanley","JTK-53WW","S/S",130000011718,"JFT","Área de pintarrones","-","FMX","id_279"
