"description.string()","type.string()","brand.string()","model.string()","serial.string()","uaz.string()","guard.string()","location.string()","details.string()","funding.string()","rfid.string()"
"CPU con monitor","comp","Apple","A1419","C02NV3D1FY11",3500000016276,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_53"
"CPU con monitor","comp","Apple","A1419","C02NV3DKFY11",3500000016277,"JFT","Cubículo Dr Juvenal Villanueva","-","CONACYT","id_54"
"CPU con monitor","comp","Apple","A1419","D25M414YF8JC",3500000016136,"SID","Cubículo Dr Jorge Simón","-","PMP","id_55"
"Monitor","comp","Apple","A1407","C02ND3Y6F2GC",35000000966720,"JFT","Cubículo Dr Jorge Simón","-","-","id_56"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F2Y1B",35000000966188,"SID","Cubículo Dr Jorge Simón","-","FADOE","id_57"
"CPU con monitor","comp","Apple","A1419","D25MC15ZF8JC",3500000016134,"RSA","Cubículo Dr Remberto Sandoval","-","PMP","id_58"
"Monitor","comp","Dell","S2715HT","CN0YXC9G7444565AA45L",,,"Cubículo Dr Remberto Sandoval","-","-","id_59"
"Workstation/Laptop","comp","Dell","Precision 7520","BKKCNH2",35000000061440,"RSA","Cubículo Dr Remberto Sandoval","-","-","id_60"
"No-break","comp","VICA","BFLOWREVOLUTION700VA",114082907,3500000062626,"RSA","Cubículo Dr Remberto Sandoval","-","PMP","id_61"
"Laptop","comp","Apple","A1398","C02NQ11CG3QC",3500000006861,"JFT","Cubículo Dr Juvenal Villanueva","-","CONACYT","id_62"
"Laptop","comp","HP","PAVILION DV6","S/S",3400000018305,"JFT","Cubículo Dr Jorge Flores","-","PMP","id_63"
"Monitor","comp","LG","W1943SB","909QXFV50651",35000000967233,"JFT","Site","-","-","id_64"
"Cargador de baterías","comp","Energizer","CH1HR-2","R0511",10000010819,"JFT","Cubículo Dr Jorge Flores","-","-","id_65"
"Laptop","comp","Dell","Inspiron 15 7000 Gaming","GQSPZ32",35000000061505,"JFT","Cubículo Dr Jorge Simón","-","-","id_66"
"Laptop","comp","Dell","Inspiron 15 7000 Gaming","3HFPZ32",35000000061506,"JFT","Estación de trabajo 7","-","-","id_67"
"Laptop","comp","HP","Elite book 840","5CG540223Z",35000000061058,"JFT","Cubículo Dr Jorge Flores","-","SEDENA","id_68"
"No-break","comp","VICA","B700VA",114082807,3500000062625,"JFT","Cubículo Dr Jorge Flores","-","PMP","id_69"
"Laptop","comp","Apple","A1398","C02NX0Y3G3QD",3500000006936,"JFT","Cubículo Dr Jorge Flores","-","FMX","id_70"
"Laptop","comp","Apple","A1398","C02NQ0YZG3QC",3500000006860,"JFT","Cubículo Dr Israel Arriaga","-","CONACYT","id_71"
"CPU","comp",,,,35000000357741,"JFT","Cubículo Dr Jorge Flores","-","-","id_72"
"No-break","comp","APC","Back-UPS RS1200",,,,"Cubículo Dr Viktor ","-","-","id_73"
"No-break","comp","APC","Back-UPS RS1200",,,,"Cubículo Dr Viktor ","-","-","id_74"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F2Y4B",35000000966177,"SID","Cubículo Dr Viktor ","-","FADOE","id_75"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F2YYB",35000000966197,"SID","Cubículo Dr Viktor ","-","FADOE","id_76"
"Monitor","comp","Dell","S2715HT","CN0YXC9G7444565AA43L",,,"Cubículo Dr Viktor ","-","-","id_77"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F2YTB",35000000966180,"SID","Cubículo Dr Viktor ","-","FADOE","id_78"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F1Y5B",35000000966195,"SID","Cubículo Dr Viktor ","-","FADOE","id_79"
"Monitor","comp","Dell","E2214HB","CN0F4WW67426144F300B",35000000966194,"SID","Cubículo Dr Viktor ","-","FADOE","id_80"
"CPU","comp","Dell","Octiplex3020","CPG2N02",35000000326456,"SID","Cubículo Dr Viktor ","-","FADOE","id_81"
"CPU","comp","Dell","Octiplex3020","CQ51N02",35000000326455,"SID","Cubículo Dr Viktor ","-","FADOE","id_82"
"CPU","comp","Dell","Octiplex3020","CR51N02",35000000326449,"SID","Cubículo Dr Viktor ","-","FADOE","id_83"
"CPU","comp","Dell","Octiplex3020","CPZ1N02",35000000326453,"SID","Cubículo Dr Viktor ","-","FADOE","id_84"
"CPU","comp","Dell","Octiplex3020","CRJZM02",35000000326448,"SID","Cubículo Dr Viktor ","-","FADOE","id_85"
"CPU","comp","Dell","Octiplex3020","CRF0N02",35000000326459,"SID","Cubículo Dr Viktor ","-","FADOE","id_86"
"Bocina para computadora","comp","Dell","A225","CN0JH9087162381N1904",35000001041384,,"Cubículo Dr Viktor ","-","-","id_87"
"Workstation","comp","Dell","Precision 7820","8PZ71T2",,,"Cubículo Dr Viktor ","-","-","id_88"
"Disco duro","comp","Apple","A1470","C86N28H6F9H5",3500000116316,"JFT","Cubículo Dr Jorge Simón","-","CONACYT","id_89"
"Laptop","comp","Dell","Lattitude E7250","7C1X562",35000000061113,"JFT","Cubículo Dr Viktor ","-","FMX","id_90"
"Fieldfox 4GHz","lab","Keysight","N9913A","MY53104602",35000000604,"JFT","Estación de trabajo 4","-","FMX","id_91"
"Fieldfox 14GHz","lab","Keysight","N9916A","MY53104255",35000000602,"JFT","Estante1-nivel2","-","FMX","id_92"
"Fieldfox 4 GHz","lab","Keysight","N9913A","MY53104601",35000000605,"JFT","Estante1-nivel2","-","FMX","id_93"
"Fieldfox 4 GHz","lab","Keysight","N9913A","MY53104603",35000000603,"JFT","Estante1-nivel2","-","FMX","id_94"
"Multimetro ","lab","Keysight","34461A","MY53208524",3103000189162,"JFT","Mesas antiestáticas","-","FMX","id_95"
"Fuente","lab","Keysight","E3631A","MY55046037",310100015219,"JFT","Mesas antiestáticas","-","FMX","id_96"
"Fuente","lab","Keysight","E3631A","MY55046038",310100015222,"JFT","Mesas antiestáticas","-","FMX","id_97"
"Osciloscopio 350 MHz","lab","Keysight","MSOX3032T","MY55440049",310100018680,"JFT","Mesas antiestáticas","-","-","id_98"
"Multimetro ","lab","Keysight","34461A","MY53208608",3103000189165,"JFT","Mesas antiestáticas","-","FMX","id_99"
"Estación de soldado","lab","Steren","CAU-275",108134,120000040853,"JFT","Mesas antiestáticas","-","-","id_100"
"Estación de soldado","lab","Steren","CAU-265",108133,120000040852,"JFT","Mesas antiestáticas","-","-","id_101"
"Estación de soldado","lab","Steren","CAU-270","S/S","-",,,"-","-","id_102"
"Fuente","lab","Keysight","E3631A","MY55046035",310100015221,"JFT","Mesas antiestáticas","-","FMX","id_103"
"Multimetro ","lab","Keysight","34461A","MY53208675",3103000189163,"JFT","Mesas antiestáticas","-","FMX","id_104"
"Multimetro ","lab","Keysight","34461A","MY53208638",3103000189164,"JFT","Mesas antiestáticas","-","FMX","id_105"
"Generador de ondas","lab","Keysight","33600A","MY53801449",31010000232,"JFT","Mesas antiestáticas","-","-","id_106"
"Fuente","lab","Keysight","E3631A","MY55046039",310100015220,"JFT","Mesas antiestáticas","-","FMX","id_107"
"Generador de ondas arb","lab","Keysight","M9502A","MY52200788",310300041030,"JFT","Mesas antiestáticas","-","FMX","id_108"
"Analizador de señales","lab","Keysight","N9030A","MY54170689",31010000081,"JFT","Mesas antiestáticas","-","FMX","id_109"
"Osciloscopio 20 Gsa/s","lab","Keysight","MSOX6004A","MY54390350",310100018669,"JFT","Mesas antiestáticas","-","FMX","id_110"
"Analizador de redes","lab","Keysight","N5222A","MY51421872",35000000601,"JFT","Mesas antiestáticas","-","FMX","id_111"
"Lupa/lámpara","lab","Intertek/Aven Inc","LTS-172-61","S/S",100000113258,"JFT","Estación de trabajo 4","-","PIFI","id_112"
"Embobinadora","lab","Minsu","CNC-200A","DZB200M0007L2A1",43040000782,"JFT","Mesa de entrada 2","-","-","id_113"
"CNC","lab","Asima","S/M","S/S",43070000462,"JFT","Mesa de entrada 2","-","-","id_114"
